,Day,Daily Admissions
3/19/2020,1,3.5
3/20/2020,2,4.2
3/21/2020,3,5
3/22/2020,4,6
3/23/2020,5,7.2
3/24/2020,6,8.5
3/25/2020,7,10.1
3/26/2020,8,12
3/27/2020,9,14.2
3/28/2020,10,16.8
3/29/2020,11,19.8
3/30/2020,12,23.2
3/31/2020,13,27.3
4/1/2020,14,32
4/2/2020,15,37
4/3/2020,16,42.2
4/4/2020,17,47.3
4/5/2020,18,50.7
4/6/2020,19,51.3
4/7/2020,20,49.9
4/8/2020,21,47.6
4/9/2020,22,45.4
4/10/2020,23,44.3
4/11/2020,24,44.9
4/12/2020,25,46.4
4/13/2020,26,47.2
4/14/2020,27,47.7
4/15/2020,28,48.1
4/16/2020,29,48.3
4/17/2020,30,48.4
4/18/2020,31,48.2
4/19/2020,32,48
4/20/2020,33,47.5
4/21/2020,34,46.9
4/22/2020,35,46.1
4/23/2020,36,45.3
4/24/2020,37,44.3
4/25/2020,38,43.2
4/26/2020,39,42.1
4/27/2020,40,40.9
4/28/2020,41,39.6
4/29/2020,42,38.3
4/30/2020,43,36.9
5/1/2020,44,35.5
5/2/2020,45,34.1
5/3/2020,46,32.7
5/4/2020,47,31.4
5/5/2020,48,30
5/6/2020,49,28.7
5/7/2020,50,27.4
5/8/2020,51,26.1
5/9/2020,52,24.9
5/10/2020,53,23.7
5/11/2020,54,22.6
5/12/2020,55,21.5
5/13/2020,56,20.4
5/14/2020,57,19.4
5/15/2020,58,18.4
5/16/2020,59,17.5
5/17/2020,60,16.7
5/18/2020,61,16
5/19/2020,62,15.3
5/20/2020,63,14.6
5/21/2020,64,14
5/22/2020,65,13.4
5/23/2020,66,12.8
5/24/2020,67,12.2
5/25/2020,68,11.6
5/26/2020,69,11
5/27/2020,70,10.5
5/28/2020,71,9.9
5/29/2020,72,9.4
5/30/2020,73,8.9
5/31/2020,74,8.4
6/1/2020,75,8
6/2/2020,76,7.8
6/3/2020,77,7.8
6/4/2020,78,7.8
6/5/2020,79,7.9
6/6/2020,80,7.9
6/7/2020,81,8
6/8/2020,82,8
6/9/2020,83,7.9
6/10/2020,84,7.8
6/11/2020,85,7.6
6/12/2020,86,7.4
6/13/2020,87,7.1
6/14/2020,88,6.8
6/15/2020,89,6.4
6/16/2020,90,6
6/17/2020,91,5.7
6/18/2020,92,5.4
6/19/2020,93,5.2
6/20/2020,94,4.9
6/21/2020,95,4.7
6/22/2020,96,4.5
6/23/2020,97,4.3
6/24/2020,98,4.1
6/25/2020,99,3.9
6/26/2020,100,3.7
6/27/2020,101,3.5
6/28/2020,102,3.4
6/29/2020,103,3.2
6/30/2020,104,3.1
7/1/2020,105,2.9
7/2/2020,106,2.8
7/3/2020,107,2.7
7/4/2020,108,2.6
7/5/2020,109,2.4
7/6/2020,110,2.3
7/7/2020,111,2.2
7/8/2020,112,2.1
7/9/2020,113,2
7/10/2020,114,1.9
7/11/2020,115,1.8
7/12/2020,116,1.8
7/13/2020,117,1.7
7/14/2020,118,1.6
7/15/2020,119,1.5
7/16/2020,120,1.5
7/17/2020,121,1.4
7/18/2020,122,1.3
7/19/2020,123,1.3
7/20/2020,124,1.2
7/21/2020,125,1.2
7/22/2020,126,1.1
7/23/2020,127,1.1
7/24/2020,128,1
7/25/2020,129,1
7/26/2020,130,0.9
7/27/2020,131,0.9
7/28/2020,132,0.9
7/29/2020,133,0.8
7/30/2020,134,0.8
7/31/2020,135,0.7
8/1/2020,136,0
8/2/2020,137,0
8/3/2020,138,0
8/4/2020,139,0
8/5/2020,140,0
8/6/2020,141,0
8/7/2020,142,0
8/8/2020,143,0
8/9/2020,144,0
8/10/2020,145,0
8/11/2020,146,0
8/12/2020,147,0
8/13/2020,148,0
8/14/2020,149,0
8/15/2020,150,0
